club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
Empoli,Sebastián Cejas,30.0,Goalkeeper,free agents,free transfer,in,Winter,0,Serie A,2005,2005/2006
Empoli,Maxwell,24.0,Left-Back,Inter,loan transfer,in,Winter,0.01,Serie A,2005,2005/2006
Empoli,Vittorio Tosto,31.0,Left-Back,Ascoli,?,in,Winter,0.01,Serie A,2005,2005/2006
Messina Peloro,Sergio Floccari,24.0,Centre-Forward,Italy,?,in,Winter,0.01,Serie A,2005,2005/2006
Messina Peloro,Antonio Nocerino,20.0,Central Midfield,Italy,loan transfer,in,Winter,0.01,Serie A,2005,2005/2006
Messina Peloro,Filippo Antonelli Agomeri,27.0,Right Winger,Chievo Verona,loan transfer,in,Winter,0.01,Serie A,2005,2005/2006
Messina Peloro,Renato Bondi,24.0,Attacking Midfield,Italy,loan transfer,in,Winter,0.01,Serie A,2005,2005/2006
Messina Peloro,Duccio Innocenti,30.0,Centre-Back,Italy,loan transfer,in,Winter,0.01,Serie A,2005,2005/2006
Messina Peloro,Roberto Nanni,24.0,Centre-Forward,Est_EU,loan transfer,in,Winter,0.01,Serie A,2005,2005/2006
Lazio,Stefano Mauri,25.0,Attacking Midfield,Italy,loan transfer,in,Winter,0.01,Serie A,2005,2005/2006
Lazio,Samir Handanovic,21.0,Goalkeeper,Italy,loan transfer,in,Winter,0.01,Serie A,2005,2005/2006
Lazio,Massimo Bonanni,23.0,Left Midfield,US Palermo,loan transfer,in,Winter,0.01,Serie A,2005,2005/2006
Fiorentina,Per Kröldrup,26.0,Centre-Back,Everton,4.00m,in,Winter,4,Serie A,2005,2005/2006
Fiorentina,Luis Jiménez,21.0,Attacking Midfield,Italy,Loan fee:2.50m,in,Winter,"2,5",Serie A,2005,2005/2006
Fiorentina,Bogdan Lobont,28.0,Goalkeeper,Ajax,1.50m,in,Winter,"1,5",Serie A,2005,2005/2006
Fiorentina,Gianluca Berti,38.0,Goalkeeper,Empoli,?,in,Winter,0.01,Serie A,2005,2005/2006
Lecce,Karim Saïdi,22.0,Centre-Back,Feyenoord,loan transfer,in,Winter,0.01,Serie A,2005,2005/2006
Lecce,Gabriel Cichero,21.0,Centre-Back,South America,?,in,Winter,0.01,Serie A,2005,2005/2006
Lecce,Luca Saudati,26.0,Centre-Forward,Italy,loan transfer,in,Winter,0.01,Serie A,2005,2005/2006
AS Livorno,Stefano Argilli,32.0,Right-Back,Italy,?,in,Winter,0.01,Serie A,2005,2005/2006
Cagliari Calcio,Antonio Chimenti,35.0,Goalkeeper,free agents,free transfer,in,Winter,0,Serie A,2005,2005/2006
Cagliari Calcio,Michele Ferri,24.0,Centre-Back,US Palermo,?,in,Winter,0.01,Serie A,2005,2005/2006
Cagliari Calcio,Jaime Penedo,24.0,Goalkeeper,South America,?,in,Winter,0.01,Serie A,2005,2005/2006
Reggina,Ivan Pelizzoli,25.0,Goalkeeper,AS Roma,Loan fee:350Th.,in,Winter,"0,35",Serie A,2005,2005/2006
Reggina,Lampros Choutos,26.0,Centre-Forward,Inter,loan transfer,in,Winter,0.01,Serie A,2005,2005/2006
Reggina,Alessandro Lucarelli,28.0,Centre-Back,AS Livorno,?,in,Winter,0.01,Serie A,2005,2005/2006
Siena,Tomás Guzmán,23.0,Attacking Midfield,Italy,?,in,Winter,0.01,Serie A,2005,2005/2006
Siena,Federico Melchiorri,18.0,Centre-Forward,Italy,?,in,Winter,0.01,Serie A,2005,2005/2006
Chievo Verona,Giuseppe Gemiti,24.0,Left-Back,Italy,loan transfer,in,Winter,0.01,Serie A,2005,2005/2006
Parma,Matteo Guardalben,31.0,Goalkeeper,US Palermo,loan transfer,in,Winter,0.01,Serie A,2005,2005/2006
Treviso,Walter Baseggio,27.0,Central Midfield,Belgium,Loan fee:125Th.,in,Winter,"0,125",Serie A,2005,2005/2006
Treviso,Blazej Vascak,22.0,Attacking Midfield,free agents,free transfer,in,Winter,0,Serie A,2005,2005/2006
Treviso,Fabio Roselli,22.0,Defensive Midfield,Italy,loan transfer,in,Winter,0.01,Serie A,2005,2005/2006
